latitudine_1,longitudine_1
-22.9546868,-43.1653227
-22.9711,-43.1822
-22.9679,-43.2252
-22.9121,-43.2302
-22.9569,-43.1775
-22.9999,-43.3606
-22.8847629,-43.401615
-22.9174703,-43.6847478
-22.7605181,-43.4507024
-22.8701575,-43.3415134
-12.9714,-38.5108
-12.9738915,-38.5148349
-12.9237039,-38.5083068
-13.0093,-38.5321
-12.97297,-38.5140004
-12.978,-38.4549
-12.9242128,-38.4675382
-12.9192908,-38.4280584
-13.0074203,-38.4646183
-19.932,-43.9378
-19.8514965,-43.9773433
-19.953,-43.9169
-19.9228,-43.9395
-19.9295,-43.9404
-19.9745322,-43.9440925
-19.9625427,-44.1601304
-19.9581517,-44.1909718
-19.916854,-43.9341352
-19.8679521,-43.9650312
-25.4430672,-49.239358
-25.4098482,-49.2671839
-25.4350887,-49.287084
-25.3790878,-49.2901427
-25.4355953,-49.3178057
-25.4233324,-49.270277
-25.438099,-49.2658127
-25.4278186,-49.215029
-25.4973207,-49.2756267
-25.4267503,-49.3073304
-30.0273408,-51.228454
-30.0342119,-51.2412209
-30.0779112,-51.2457354
-30.0319092,-51.2408175
-30.0366937,-51.2162977
-30.0250403,-51.1619307
-30.0851184,-51.2462369
-29.91523,-51.16569
-30.050009,-51.229456
-30.085172,-51.246452
-8.1181904,-34.8933777
-8.0633124,-34.8721091
-8.068159,-34.9640293
-8.0623059,-34.8774888
-8.1412393,-34.9041808
-8.1191344,-34.9048734
-8.0860966,-34.8950001
-8.0512177,-34.9223031
-8.0537479,-34.8934489
-8.0303692,-34.9071967
-3.7398568,-38.4518325
-3.7211368,-38.5202232
-3.7235277,-38.5240441
-3.7227727,-38.5248421
-3.7447161,-38.4858931
-3.7558474,-38.4894902
-3.7414551,-38.4715313
-3.831747,-38.5014367
-3.7534133,-38.523009
-3.8150966,-38.4987453
-3.1303263,-60.0234201
-3.063643,-60.1035985
-3.1351379,-60.0170284
-3.104454,-60.0120429
-3.1327137,-60.0238598
-3.1347168,-59.9399687
-3.1074691,-60.0390174
-3.1245491,-59.9834632
-27.6292552,-48.4490197
-27.6044325,-48.4642424
-27.5935166,-48.5619485
-27.4371825,-48.3894837
-27.6023073,-48.4328405
-27.5902186,-48.5153664
-27.5849158,-48.5452639
-27.59705,-48.55455
